store_name,store_url,data_directory
Store1,https://ana-slo.com/%e3%83%9b%e3%83%bc%e3%83%ab%e3%83%87%e3%83%bc%e3%82%bf/%e6%9d%b1%e4%ba%ac%e9%83%bd/%e3%83%9e%e3%83%ab%e3%83%8f%e3%83%b3%e5%85%ab%e7%8e%8b%e5%ad%90%e5%9b%9b%e8%b0%b7%e5%ba%97-%e3%83%87%e3%83%bc%e3%82%bf%e4%b8%80%e8%a6%a7/,.\data\test3
Store2,https://ana-slo.com/%e3%83%9b%e3%83%bc%e3%83%ab%e3%83%87%e3%83%bc%e3%82%bf/%e6%9d%b1%e4%ba%ac%e9%83%bd/big%e3%83%87%e3%82%a3%e3%83%83%e3%83%91%e3%83%bc%e6%9d%b1%e4%b8%ad%e9%87%8e%e5%ba%97-%e3%83%87%e3%83%bc%e3%82%bf%e4%b8%80%e8%a6%a7/,./data/test2
test,testt,test
