day,dai_name,dai_num,game,difference,bb,rb,Total,big_per,reg_per
2026-02-10,スマスロ ハナビ,664,3323,1500,18,4,151.0,184.6,830.8
2026-02-10,ディスクアップ2,597,5689,3500,31,12,132.3,183.5,474.1
2026-02-10,ディスクアップ2,598,4125,0,15,6,196.4,275.0,687.5
2026-02-10,バーサスリヴァイズ,595,1219,-100,5,1,203.2,243.8,1219.0
2026-02-10,バーサスリヴァイズ,596,440,-500,0,1,440.0,0.0,440.0
2026-02-10,新ハナビ,593,4581,1300,20,19,117.5,229.1,241.1
2026-02-10,新ハナビ,594,2086,400,10,1,189.6,208.6,2086.0
2026-02-10,とある科学の超電磁砲2,654,942,6000,16,13,32.5,58.9,72.5
2026-02-10,アズールレーン THE ANIMATION,655,1228,-1400,6,6,102.3,204.7,204.7
2026-02-10,ネオプラネット,656,927,200,4,2,154.5,231.8,463.5
2026-02-10,無職転生 ～異世界行ったら本気だす～,657,4018,-2700,24,17,98.0,167.4,236.4
2026-02-10,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,661,2813,300,10,7,165.5,281.3,401.9
2026-02-10,アレックス ブライト,662,4531,200,15,13,161.8,302.1,348.5
2026-02-10,スマスロ炎炎ノ消防隊,670,1481,-900,5,3,185.1,296.2,493.7
2026-02-10,七つの魔剣が支配する,671,4440,-2400,50,17,66.3,88.8,261.2
2026-02-10,絶対衝激IV,672,1060,-700,8,8,66.2,132.5,132.5
